fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,step,stored_timestamp
5120,2.6.4,224697,193.0.14.129,4,193.0.14.129,172.17.0.234,ICMP,60.0,32,"[{'rtt': 65.123118}, {'rtt': 65.031573}, {'rtt': 65.106317}]",0,3,3,65.031573,65.123118,65.08700266666666,1001,1000852,1789762073,Ping,139.100.205.56,ping,240,1789762189
5040,2.4.1,54,193.0.14.129,4,193.0.14.129,192.168.1.245,ICMP,53.0,20,"[{'rtt': 21.695223}, {'rtt': 3.000737}, {'rtt': 4.032205}]",0,3,3,3.000737,21.695223,9.576055,1001,1000905,1789762061,Ping,81.193.74.155,ping,240,1789762120
5080,2.6.3,20,193.0.14.129,4,193.0.14.129,51.171.168.117,ICMP,54.0,32,"[{'rtt': 49.004748}, {'rtt': 49.760919}, {'rtt': 49.61358}]",0,3,3,49.004748,49.760919,49.45974900000001,1001,1000929,1789762047,Ping,51.171.168.117,ping,240,1789762096
5130,2.6.4,53,193.0.14.129,4,193.0.14.129,192.168.1.121,ICMP,56.0,32,"[{'rtt': 18.936608}, {'rtt': 19.383805}, {'rtt': 19.098007}]",0,3,3,18.936608,19.383805,19.13947333333333,1001,1000969,1789762057,Ping,80.72.127.161,ping,240,1789762133
5130,2.6.4,57,193.0.14.129,4,193.0.14.129,45.159.51.5,ICMP,57.0,32,"[{'rtt': 8.330278}, {'rtt': 5.066625}, {'rtt': 1.05729}]",0,3,3,1.05729,8.330278,4.818064333333333,1001,1000986,1789762075,Ping,45.159.51.5,ping,240,1789762141
5120,2.6.4,9,193.0.14.129,4,193.0.14.129,172.16.72.100,ICMP,51.0,20,"[{'rtt': 274.136334}, {'rtt': 273.821952}, {'rtt': 276.060916}]",0,3,3,273.821952,276.060916,274.67306733333334,1001,1000988,1789762042,Ping,204.19.202.45,ping,240,1789762098
5120,2.6.4,3,193.0.14.129,4,193.0.14.129,10.10.0.16,ICMP,60.0,32,"[{'rtt': 12.718187}, {'rtt': 24.325217}, {'rtt': 11.617995}]",0,3,3,11.617995,24.325217,16.22046633333333,1001,1001084,1789762074,Ping,81.217.7.18,ping,240,1789762118
5130,2.6.4,53,193.0.14.129,4,193.0.14.129,10.88.0.2,ICMP,63.0,32,"[{'rtt': 0.166624}, {'rtt': 1.02799}, {'rtt': 0.974449}]",0,3,3,0.166624,1.02799,0.723021,1001,1001116,1789762040,Ping,45.137.101.42,ping,240,1789762105
5080,2.6.2,57,193.0.14.129,4,193.0.14.129,192.168.0.150,ICMP,58.0,20,"[{'rtt': 14.069702}, {'rtt': 10.472199}, {'rtt': 8.903315}]",0,3,3,8.903315,14.069702,11.148405333333335,1001,1001131,1789762050,Ping,91.66.96.139,ping,240,1789762111
5080,2.6.2,12,193.0.14.129,4,193.0.14.129,91.206.3.9,ICMP,62.0,32,"[{'rtt': 31.281897}, {'rtt': 31.304396}, {'rtt': 31.278263}]",0,3,3,31.278263,31.304396,31.28818533333333,1001,1001139,1789762071,Ping,91.206.3.9,ping,240,1789762126
5080,2.4.0,22,193.0.14.129,4,193.0.14.129,192.168.20.8,ICMP,54.0,20,"[{'rtt': 154.891061}, {'rtt': 154.587073}, {'rtt': 154.493077}]",0,3,3,154.493077,154.891061,154.65707033333334,1001,1001181,1789762066,Ping,70.134.61.176,ping,240,1789762105
5040,2.4.1,45,193.0.14.129,4,193.0.14.129,192.168.1.221,ICMP,58.0,32,"[{'rtt': 85.130975}, {'rtt': 84.608627}, {'rtt': 84.646849}]",0,3,3,84.608627,85.130975,84.79548366666667,1001,1001204,1789762059,Ping,100.36.159.156,ping,240,1789762118
5080,2.2.1,5,193.0.14.129,4,193.0.14.129,192.168.1.106,ICMP,52.0,20,"[{'rtt': 9.7925}, {'rtt': 9.71375}, {'rtt': 9.8475}]",0,3,3,9.71375,9.8475,9.784583333333334,1001,1001216,1789762032,Ping,135.180.24.187,ping,240,1789762144
5130,2.6.4,18,193.0.14.129,4,193.0.14.129,192.168.0.14,ICMP,60.0,32,"[{'rtt': 4.247406}, {'rtt': 4.314802}, {'rtt': 4.215583}]",0,3,3,4.215583,4.314802,4.259263666666667,1001,1001231,1789762042,Ping,2.84.237.150,ping,240,1789762085
5110,2.6.4,2,193.0.14.129,4,193.0.14.129,192.168.7.253,ICMP,58.0,32,"[{'rtt': 3.329337}, {'rtt': 4.65167}, {'rtt': 4.607303}]",0,3,3,3.329337,4.65167,4.196103333333333,1001,1001236,1789762049,Ping,181.43.200.128,ping,240,1789762093
5130,2.6.4,37,193.0.14.129,4,193.0.14.129,172.17.0.2,ICMP,48.0,32,"[{'rtt': 296.598534}, {'rtt': 296.209912}, {'rtt': 296.130729}]",0,3,3,296.130729,296.598534,296.31305833333334,1001,1001341,1789762063,Ping,37.187.122.221,ping,240,1789762151
5040,2.4.0,30,193.0.14.129,4,193.0.14.129,67.221.244.75,ICMP,251.0,32,"[{'rtt': 14.956861}, {'rtt': 15.109833}, {'rtt': 15.545626}]",0,3,3,14.956861,15.545626,15.204106666666666,1001,1001389,1789762044,Ping,67.221.244.75,ping,240,1789762135
5020,2.2.1,48,193.0.14.129,4,193.0.14.129,128.199.142.29,ICMP,55.0,32,"[{'rtt': 69.575333}, {'rtt': 68.282004}, {'rtt': 68.459529}]",0,3,3,68.282004,69.575333,68.77228866666667,1001,1001407,1789762076,Ping,128.199.142.29,ping,240,1789762141
5120,2.6.4,5891187,193.0.14.129,4,193.0.14.129,80.77.27.255,ICMP,59.0,32,"[{'rtt': 6.436992}, {'rtt': 6.462732}, {'rtt': 6.290082}]",0,3,3,6.290082,6.462732,6.396601999999999,1001,1001414,1789762062,Ping,80.77.27.255,ping,240,1789762214
5080,2.6.2,4,193.0.14.129,4,193.0.14.129,91.137.24.88,ICMP,60.0,32,"[{'rtt': 13.175627}, {'rtt': 12.982828}, {'rtt': 12.961017}]",0,3,3,12.961017,13.175627,13.039824000000001,1001,1001430,1789762047,Ping,91.137.24.88,ping,240,1789762103
5080,2.6.2,16,193.0.14.129,4,193.0.14.129,172.19.0.2,ICMP,58.0,20,"[{'rtt': 12.22061}, {'rtt': 12.765919}, {'rtt': 13.158674}]",0,3,3,12.22061,13.158674,12.715067666666668,1001,1001487,1789762058,Ping,80.107.74.57,ping,240,1789762103
5020,2.2.1,20,193.0.14.129,4,193.0.14.129,192.168.1.222,ICMP,59.0,20,"[{'rtt': 30.619602}, {'rtt': 28.844225}, {'rtt': 31.281883}]",0,3,3,28.844225,31.281883,30.24857,1001,1001517,1789762042,Ping,182.65.205.209,ping,240,1789762084
5020,2.2.1,18,193.0.14.129,4,193.0.14.129,192.168.1.210,ICMP,55.0,20,"[{'rtt': 41.773984}, {'rtt': 41.847093}, {'rtt': 42.469734}]",0,3,3,41.773984,42.469734,42.030270333333334,1001,1001518,1789762036,Ping,103.219.60.42,ping,240,1789762090
5110,2.6.4,13,193.0.14.129,4,193.0.14.129,172.18.0.2,ICMP,51.0,32,"[{'rtt': 37.485298}, {'rtt': 37.633381}, {'rtt': 37.677991}]",0,3,3,37.485298,37.677991,37.598890000000004,1001,1001582,1789762033,Ping,149.40.6.16,ping,240,1789762147
5130,2.6.4,41,193.0.14.129,4,193.0.14.129,149.154.155.137,ICMP,61.0,32,"[{'rtt': 0.630707}, {'rtt': 0.623184}, {'rtt': 0.610072}]",0,3,3,0.610072,0.630707,0.6213209999999999,1001,1001595,1789762078,Ping,149.154.155.137,ping,240,1789762101
5120,2.6.4,33,193.0.14.129,4,193.0.14.129,94.198.139.114,ICMP,59.0,32,"[{'rtt': 4.498358}, {'rtt': 4.460344}, {'rtt': 4.50974}]",0,3,3,4.460344,4.50974,4.489480666666666,1001,1001596,1789762074,Ping,94.198.139.114,ping,240,1789762097
5130,2.6.4,46,193.0.14.129,4,193.0.14.129,172.16.8.1,ICMP,59.0,32,"[{'rtt': 6.307315}, {'rtt': 6.303963}, {'rtt': 6.185749}]",0,3,3,6.185749,6.307315,6.265675666666667,1001,1001602,1789762036,Ping,85.118.190.140,ping,240,1789762110
5130,2.6.4,54,193.0.14.129,4,193.0.14.129,172.20.0.66,ICMP,60.0,32,"[{'rtt': 5.070166}, {'rtt': 3.228896}, {'rtt': 3.699561}]",0,3,3,3.228896,5.070166,3.9995410000000007,1001,1001622,1789762051,Ping,41.66.71.43,ping,240,1789762117
5080,2.6.2,8,193.0.14.129,4,193.0.14.129,172.16.15.28,ICMP,53.0,32,"[{'rtt': 24.680353}, {'rtt': 25.411351}, {'rtt': 27.633733}]",0,3,3,24.680353,27.633733,25.908479,1001,1001656,1789762055,Ping,46.7.68.11,ping,240,1789762099
5130,2.6.4,2,193.0.14.129,4,193.0.14.129,172.17.0.4,ICMP,46.0,32,"[{'rtt': 82.604918}, {'rtt': 82.800398}, {'rtt': 82.559715}]",0,3,3,82.559715,82.800398,82.65501033333334,1001,1001823,1789762076,Ping,99.250.105.35,ping,240,1789762144
5110,2.6.4,49,193.0.14.129,4,193.0.14.129,172.26.1.5,ICMP,59.0,32,"[{'rtt': 24.228886}, {'rtt': 12.695223}, {'rtt': 13.702563}]",0,3,3,12.695223,24.228886,16.875557333333333,1001,1001965,1789762039,Ping,188.142.213.120,ping,240,1789762105
4790,,335,193.0.14.129,4,193.0.14.129,192.168.110.26,ICMP,59.0,20,"[{'rtt': 69.353486}, {'rtt': 79.416592}, {'rtt': 68.22683}]",0,3,3,68.22683,79.416592,72.33230266666668,1001,1002,1789762034,Ping,144.6.76.81,ping,240,1789762135
5130,2.6.4,17,193.0.14.129,4,193.0.14.129,103.254.153.23,ICMP,54.0,32,"[{'rtt': 107.154337}, {'rtt': 106.904748}, {'rtt': 106.978754}]",0,3,3,106.904748,107.154337,107.01261299999999,1001,1002026,1789762073,Ping,103.254.153.23,ping,240,1789762103
5130,2.6.4,48,193.0.14.129,4,193.0.14.129,209.58.128.24,ICMP,50.0,32,"[{'rtt': 98.880594}, {'rtt': 98.833244}, {'rtt': 98.95385}]",0,3,3,98.833244,98.95385,98.88922933333333,1001,1002028,1789762039,Ping,209.58.128.24,ping,240,1789762107
5130,2.6.4,54,193.0.14.129,4,193.0.14.129,23.105.140.207,ICMP,46.0,32,"[{'rtt': 202.171378}, {'rtt': 202.1778}, {'rtt': 202.217167}]",0,3,3,202.171378,202.217167,202.18878166666664,1001,1002032,1789762048,Ping,23.105.140.207,ping,240,1789762111
5130,2.6.4,40,193.0.14.129,4,193.0.14.129,23.108.77.174,ICMP,48.0,32,"[{'rtt': 186.228922}, {'rtt': 186.219406}, {'rtt': 186.228342}]",0,3,3,186.219406,186.228922,186.22555666666668,1001,1002033,1789762036,Ping,23.108.77.174,ping,240,1789762112
5130,2.6.4,24,193.0.14.129,4,193.0.14.129,10.0.0.100,ICMP,59.0,32,"[{'rtt': 11.70414}, {'rtt': 11.71414}, {'rtt': 11.7697}]",0,3,3,11.70414,11.7697,11.729326666666667,1001,1002072,1789762054,Ping,92.5.14.217,ping,240,1789762096
5080,2.6.2,13,193.0.14.129,4,193.0.14.129,185.176.153.198,ICMP,62.0,32,"[{'rtt': 0.624967}, {'rtt': 0.636547}, {'rtt': 1.102699}]",0,3,3,0.624967,1.102699,0.7880710000000001,1001,1002216,1789762061,Ping,185.176.153.198,ping,240,1789762121
5130,2.6.4,118,193.0.14.129,4,193.0.14.129,150.107.75.182,ICMP,60.0,32,"[{'rtt': 0.403222}, {'rtt': 0.563486}, {'rtt': 0.581213}]",0,3,3,0.403222,0.581213,0.5159736666666667,1001,1002217,1789762049,Ping,150.107.75.182,ping,240,1789762124
5020,2.2.1,30,193.0.14.129,4,193.0.14.129,10.150.26.2,ICMP,53.0,32,"[{'rtt': 75.848221}, {'rtt': 79.056795}, {'rtt': 85.365162}]",0,3,3,75.848221,85.365162,80.09005933333333,1001,1002220,1789762041,Ping,104.220.122.218,ping,240,1789762126
5080,2.6.3,9,193.0.14.129,4,193.0.14.129,81.187.95.137,ICMP,61.0,32,"[{'rtt': 13.285992}, {'rtt': 13.340866}, {'rtt': 13.122859}]",0,3,3,13.122859,13.340866,13.249905666666665,1001,1002237,1789762035,Ping,81.187.95.137,ping,240,1789762083
5080,2.6.2,72,193.0.14.129,4,193.0.14.129,218.189.31.86,ICMP,52.0,32,"[{'rtt': 286.446711}, {'rtt': 286.29614}, {'rtt': 286.331776}]",0,3,3,286.29614,286.446711,286.358209,1001,1002277,1789762064,Ping,218.189.31.86,ping,240,1789762124
5080,2.6.2,9,193.0.14.129,4,193.0.14.129,10.83.220.217,ICMP,58.0,32,"[{'rtt': 9.493785}, {'rtt': 9.946582}, {'rtt': 9.561777}]",0,3,3,9.493785,9.946582,9.667381333333333,1001,1002317,1789762050,Ping,185.220.100.129,ping,240,1789762108
5020,2.2.1,54,193.0.14.129,4,193.0.14.129,172.17.0.2,ICMP,249.0,32,"[{'rtt': 41.542611}, {'rtt': 40.754006}, {'rtt': 40.003802}]",0,3,3,40.003802,41.542611,40.766806333333335,1001,1002404,1789762056,Ping,91.201.164.33,ping,240,1789762116
5130,2.6.4,61,193.0.14.129,4,193.0.14.129,10.99.0.12,ICMP,58.0,32,"[{'rtt': 9.725185}, {'rtt': 9.65914}, {'rtt': 9.712212}]",0,3,3,9.65914,9.725185,9.698845666666665,1001,1002412,1789762064,Ping,170.133.2.182,ping,240,1789762128
5130,2.6.4,22,193.0.14.129,4,193.0.14.129,172.16.184.106,ICMP,54.0,32,"[{'rtt': 38.846845}, {'rtt': 38.064082}, {'rtt': 38.126946}]",0,3,3,38.064082,38.846845,38.34595766666666,1001,1002423,1789762047,Ping,159.69.250.1,ping,240,1789762092
5020,2.2.1,48,193.0.14.129,4,193.0.14.129,45.86.125.102,ICMP,52.0,32,"[{'rtt': 11.854548}, {'rtt': 11.926186}, {'rtt': 11.66947}]",0,3,3,11.66947,11.926186,11.816734666666667,1001,1002432,1789762077,Ping,45.86.125.102,ping,240,1789762154
5080,2.6.3,64,193.0.14.129,4,193.0.14.129,89.150.143.117,ICMP,58.0,32,"[{'rtt': 13.949252}, {'rtt': 14.621617}, {'rtt': 14.515357}]",0,3,3,13.949252,14.621617,14.362075333333335,1001,1002452,1789762053,Ping,89.150.143.117,ping,240,1789762113
5080,2.6.3,47,193.0.14.129,4,193.0.14.129,89.177.13.26,ICMP,56.0,32,"[{'rtt': 18.212193}, {'rtt': 23.015393}, {'rtt': 12.879756}]",0,3,3,12.879756,23.015393,18.035780666666668,1001,1002453,1789762044,Ping,89.177.13.26,ping,240,1789762125
5040,2.2.1,30,193.0.14.129,4,193.0.14.129,10.202.41.109,ICMP,58.0,32,"[{'rtt': 9.624321}, {'rtt': 9.573315}, {'rtt': 9.369303}]",0,3,3,9.369303,9.624321,9.522312999999999,1001,1002463,1789762035,Ping,170.133.2.81,ping,240,1789762131
5130,2.6.4,41,193.0.14.129,4,193.0.14.129,172.19.0.5,ICMP,59.0,32,"[{'rtt': 4.410009}, {'rtt': 4.312658}, {'rtt': 4.324455}]",0,3,3,4.312658,4.410009,4.349040666666666,1001,1002468,1789762060,Ping,86.94.39.4,ping,240,1789762122
5080,2.6.2,104923974,193.0.14.129,4,193.0.14.129,172.16.5.4,ICMP,61.0,32,"[{'rtt': 2.632588}, {'rtt': 2.63602}, {'rtt': 2.55501}]",0,3,3,2.55501,2.63602,2.6078726666666667,1001,1002473,1789762059,Ping,212.24.192.21,ping,240,1789762112
5020,2.2.1,23,193.0.14.129,4,193.0.14.129,172.17.0.3,ICMP,47.0,32,"[{'rtt': 295.295722}, {'rtt': 295.295762}, {'rtt': 295.227716}]",0,3,3,295.227716,295.295762,295.2730666666667,1001,1002484,1789762038,Ping,164.132.215.127,ping,240,1789762136
5080,2.6.2,28,193.0.14.129,4,193.0.14.129,85.8.131.94,ICMP,58.0,32,"[{'rtt': 0.931695}, {'rtt': 1.030894}, {'rtt': 0.991294}]",0,3,3,0.931695,1.030894,0.9846276666666666,1001,1002527,1789762045,Ping,85.8.131.94,ping,240,1789762124
